xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1301.679788
pentane H C x x 12 5 x x 1596.548038
hexane H C x x 14 6 x x 1891.437752
heptane H C x x 16 7 x x 2186.330091
octane H C x x 18 8 x x 2481.21874
isobutane H C x x 10 4 x x 1302.89175
isopentane H C x x 12 5 x x 1597.197487
isohexane H C x x 14 6 x x 1892.056232
isoheptane H C x x 16 7 x x 2186.983055
isooctane H C x x 18 8 x x 2481.931754
neopentane H C x x 12 5 x x 1599.609632
neohexane H C x x 14 6 x x 1893.249748
neoheptane H C x x 16 7 x x 2188.083721
3methylpentane H C x x 14 6 x x 1891.373867
diisopropyl H C x x 14 6 x x 1891.916847
hexamethylethane H C x x 18 8 x x 2481.054345
h2 H x x x 2 x x x 107.7084326
alh3 H Al x x 3 1 x x 215.4403868
alh Al H x x 1 1 x x 73.27579297
sih4 H Si x x 4 1 x x 326.9400165
bh3 H B x x 3 1 x x 282.6994149
bh B H x x 1 1 x x 83.13323786
ch2-trip H C x x 2 1 x x 188.4180922
sih H Si x x 1 1 x x 74.95874722
si2h6 H Si x x 6 2 x x 541.1634265
ch3 H C x x 3 1 x x 306.6072113
ch4 H C x x 4 1 x x 418.9759857
b2h6 H B x x 6 2 x x 608.9147631
sih3f H F Si x 3 1 1 x 382.8357269
ph3 H P x x 3 1 x x 246.8450561
c2h6 H C x x 6 2 x x 711.9392468
propane H C x x 8 3 x x 1006.790834
ch2-sing H C x x 2 1 x x 182.4849599
ch C H x x 1 1 x x 83.83592055
h2s H S x x 2 1 x x 184.2525682
hs S H x x 1 1 x x 89.01184425
c2h5f H C F x 5 2 1 x 721.1820325
ch3nh2 H C N x 5 1 1 x 583.9137388
ch3f H F C x 3 1 1 x 422.3299224
propene H C x x 6 3 x x 859.1395006
nh3 H N x x 3 1 x x 298.6591551
ethanol H C O x 6 2 1 x 810.13507
ch3nh H C N x 4 1 1 x 478.3202083
c2h4 H C x x 4 2 x x 561.3240466
methanol H C O x 4 1 1 x 512.2825804
hcl Cl H x x 1 1 x x 106.2780417
nh2 H N x x 2 1 x x 184.6856552
nh N H x x 1 1 x x 85.11003436
ch2nh2 H C N x 4 1 1 x 485.4142506
bhf2 F B H x 2 1 1 x 408.8672978
h2o H O x x 2 1 x x 230.2081182
hf F H x x 1 1 x x 138.6388315
ch2ch H C x x 3 2 x x 443.8496964
oh O H x x 1 1 x x 107.1930859
propyne H C x x 4 3 x x 701.5643079
acetaldehyde H C O x 4 2 1 x 677.345984
allene H C x x 4 3 x x 701.5208304
sif4 F Si x x 4 1 x x 568.5063496
bf3 F B x x 3 1 x x 466.5599938
c2h3f H C F x 3 2 1 x 572.4140034
oxirane H C O x 4 2 1 x 652.8964351
ch2f2 H F C x 2 2 1 x 437.5153492
alf3 F Al x x 3 1 x x 423.499298
bef2 F Be x x 2 1 x x 306.072708
ch2c C H x x 2 2 x x 358.5222056
n2h4 H N x x 4 2 x x 443.345324
ch2nh H C N x 3 1 1 x 439.9491816
alf Al F x x 1 1 x x 161.4054706
acetic H C O x 4 2 2 x 803.8730322
c2h2 C H x x 2 2 x x 400.4941431
h2co H O C x 2 1 1 x 373.4216157
h2cn H C N x 2 1 1 x 345.9772834
bf F B x x 1 1 x x 180.8122682
becl2 Cl Be x x 2 1 x x 226.6444139
t-hcoh H C O x 2 1 1 x 322.2083306
alcl3 Cl Al x x 3 1 x x 310.8564215
c-hcoh H C O x 2 1 1 x 317.1303732
alcl Al Cl x x 1 1 x x 121.099908
ketene C H O x 2 2 1 x 533.1120493
sif F Si x x 1 1 x x 143.1912992
formic H O C x 2 2 1 x 501.3189909
hcnh H C N x 2 1 1 x 337.7554933
glyoxal C H O x 2 2 2 x 634.1412816
hcof C O H F 1 1 1 1 403.5832712
nh2cl H N Cl x 2 1 1 x 249.8635136
cf4 F C x x 4 1 x x 479.0909386
hccf C H F x 2 1 1 x 395.5292134
hcn H C N x 1 1 1 x 311.5561005
hnc H N C x 1 1 1 x 298.6731076
cch C H x x 2 1 x x 258.8581481
hco O C H x 1 1 1 x 279.5745204
co C O x x 1 1 x x 257.7263769
oxirene C H O x 2 2 1 x 454.3629078
f2co F O C x 2 1 1 x 421.5143893
hocn C N O H 1 1 1 1 409.6157668
hooh H O x x 2 2 x x 267.9991638
t-n2h2 H N x x 2 2 x x 300.4544207
hnco C O N H 1 1 1 1 436.9122153
c-n2h2 H N x x 2 2 x x 294.7141271
cf2 F C x x 2 1 x x 259.8697181
co2 O C x x 2 1 x x 389.6165542
fccf F C x x 2 2 x x 384.9865977
dioxirane H O C x 2 2 1 x 409.7433211
cf C F x x 1 1 x x 134.9770576
ssh S H x x 2 1 x x 167.7235425
hocl O H Cl x 1 1 1 x 165.1489665
nccn N C x x 2 2 x x 499.6348484
n2 N x x x 2 x x x 230.7446415
n2h N H x x 2 1 x x 230.9568117
ocs O C S x 1 1 1 x 335.1719235
sio Si O x x 1 1 x x 189.827997
clcn Cl C N x 1 1 1 x 284.5946007
hoo O H x x 2 1 x x 179.0420367
hcno C H N O 1 1 1 1 365.1282383
honc H O N C 1 1 1 1 352.0342272
hno N H O x 1 1 1 x 207.6099416
hof H O F x 1 1 1 x 157.7718065
c-hono O N H x 2 1 1 x 315.8566256
t-hono O N H x 2 1 1 x 316.085364
cs2 S C x x 2 1 x x 277.1754452
hnnn N H x x 3 1 x x 337.5671314
cs C S x x 1 1 x x 167.7942027
cn C N x x 1 1 x x 175.1499107
so3 O S x x 3 1 x x 343.7854633
ccl2 Cl C x x 2 1 x x 175.8157287
bn3pi B N x x 1 1 x x 106.3421285
so2 O S x x 2 1 x x 257.3688759
no N O x x 1 1 x x 157.14383
so S O x x 1 1 x x 128.3213474
n2o N O x x 2 1 x x 274.7282617
c-hooo O H x x 3 1 x x 235.272744
s2 S x x x 2 x x x 105.6458665
p4 P x x x 4 x x x 302.5055913
cl2 Cl x x x 2 x x x 58.79769612
o2 O x x x 2 x x x 126.4784416
f2 F x x x 2 x x x 37.20126793
t-hooo O H x x 3 1 x x 233.8313047
