xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1301.154844
pentane H C x x 12 5 x x 1595.880168
hexane H C x x 14 6 x x 1890.626949
heptane H C x x 16 7 x x 2185.376629
octane H C x x 18 8 x x 2480.122648
isobutane H C x x 10 4 x x 1302.356387
isopentane H C x x 12 5 x x 1596.513137
isohexane H C x x 14 6 x x 1891.229259
isoheptane H C x x 16 7 x x 2186.013574
isooctane H C x x 18 8 x x 2480.774669
neopentane H C x x 12 5 x x 1598.908195
neohexane H C x x 14 6 x x 1892.392958
neoheptane H C x x 16 7 x x 2187.084662
3methylpentane H C x x 14 6 x x 1890.540524
diisopropyl H C x x 14 6 x x 1891.066612
hexamethylethane H C x x 18 8 x x 2479.837633
h2 H x x x 2 x x x 107.7015991
alh3 H Al x x 3 1 x x 215.3965819
alh Al H x x 1 1 x x 73.26240041
sih4 H Si x x 4 1 x x 326.8609619
bh3 H B x x 3 1 x x 282.6462263
bh B H x x 1 1 x x 83.12066816
ch2-trip H C x x 2 1 x x 188.3733668
sih H Si x x 1 1 x x 74.94240418
si2h6 H Si x x 6 2 x x 541.0099481
ch3 H C x x 3 1 x x 306.5365131
ch4 H C x x 4 1 x x 418.8726151
b2h6 H B x x 6 2 x x 608.7074433
sih3f H F Si x 3 1 1 x 382.7576995
ph3 H P x x 3 1 x x 246.7735307
c2h6 H C x x 6 2 x x 711.7014392
propane H C x x 8 3 x x 1006.408659
ch2-sing H C x x 2 1 x x 182.4414166
ch C H x x 1 1 x x 83.81725635
h2s H S x x 2 1 x x 184.2005729
hs S H x x 1 1 x x 88.98753108
c2h5f H C F x 5 2 1 x 720.9251956
ch3nh2 H C N x 5 1 1 x 583.7067959
ch3f H F C x 3 1 1 x 422.2044563
propene H C x x 6 3 x x 858.8325637
nh3 H N x x 3 1 x x 298.5831863
ethanol H C O x 6 2 1 x 809.8296237
ch3nh H C N x 4 1 1 x 478.145208
c2h4 H C x x 4 2 x x 561.1543032
methanol H C O x 4 1 1 x 512.1136226
hcl Cl H x x 1 1 x x 106.2513656
nh2 H N x x 2 1 x x 184.6385647
nh N H x x 1 1 x x 85.08838961
ch2nh2 H C N x 4 1 1 x 485.2426479
bhf2 F B H x 2 1 1 x 408.7836342
h2o H O x x 2 1 x x 230.1599508
hf F H x x 1 1 x x 138.6176413
ch2ch H C x x 3 2 x x 443.7102865
oh O H x x 1 1 x x 107.1710173
propyne H C x x 4 3 x x 701.3293501
acetaldehyde H C O x 4 2 1 x 677.1082493
allene H C x x 4 3 x x 701.2856409
sif4 F Si x x 4 1 x x 568.3700365
bf3 F B x x 3 1 x x 466.4460869
c2h3f H C F x 3 2 1 x 572.2226246
oxirane H C O x 4 2 1 x 652.6195056
ch2f2 H F C x 2 2 1 x 437.3581451
alf3 F Al x x 3 1 x x 423.4254288
bef2 F Be x x 2 1 x x 306.0469665
ch2c C H x x 2 2 x x 358.4131003
n2h4 H N x x 4 2 x x 443.1640073
ch2nh H C N x 3 1 1 x 439.8051808
alf Al F x x 1 1 x x 161.4016989
acetic H C O x 4 2 2 x 803.5599564
c2h2 C H x x 2 2 x x 400.386207
h2co H O C x 2 1 1 x 373.3119544
h2cn H C N x 2 1 1 x 345.8632032
bf F B x x 1 1 x x 180.7955299
becl2 Cl Be x x 2 1 x x 226.6044421
t-hcoh H C O x 2 1 1 x 322.1018938
alcl3 Cl Al x x 3 1 x x 310.7927734
c-hcoh H C O x 2 1 1 x 317.0238301
alcl Al Cl x x 1 1 x x 121.088325
ketene C H O x 2 2 1 x 532.9366777
sif F Si x x 1 1 x x 143.1806013
formic H O C x 2 2 1 x 501.1375981
hcnh H C N x 2 1 1 x 337.6412149
glyoxal C H O x 2 2 2 x 633.9024339
hcof C O H F 1 1 1 1 403.4434385
nh2cl H N Cl x 2 1 1 x 249.7444406
cf4 F C x x 4 1 x x 478.843827
hccf C H F x 2 1 1 x 395.3978355
hcn H C N x 1 1 1 x 311.4712746
hnc H N C x 1 1 1 x 298.5886116
cch C H x x 2 1 x x 258.7734403
hco O C H x 1 1 1 x 279.4924777
co C O x x 1 1 x x 257.6700423
oxirene C H O x 2 2 1 x 454.1613597
f2co F O C x 2 1 1 x 421.332316
hocn C N O H 1 1 1 1 409.4644319
hooh H O x x 2 2 x x 267.880398
t-n2h2 H N x x 2 2 x x 300.3302883
hnco C O N H 1 1 1 1 436.758656
c-n2h2 H N x x 2 2 x x 294.5900354
cf2 F C x x 2 1 x x 259.7714898
co2 O C x x 2 1 x x 389.4907565
fccf F C x x 2 2 x x 384.8301169
dioxirane H O C x 2 2 1 x 409.5248598
cf C F x x 1 1 x x 134.9349299
ssh S H x x 2 1 x x 167.6401201
hocl O H Cl x 1 1 1 x 165.062839
nccn N C x x 2 2 x x 499.4508659
n2 N x x x 2 x x x 230.6769424
n2h N H x x 2 1 x x 230.8614546
ocs O C S x 1 1 1 x 335.0500644
sio Si O x x 1 1 x x 189.7912761
clcn Cl C N x 1 1 1 x 284.4675379
hoo O H x x 2 1 x x 178.9453913
hcno C H N O 1 1 1 1 364.9671339
honc H O N C 1 1 1 1 351.8757462
hno N H O x 1 1 1 x 207.5143876
hof H O F x 1 1 1 x 157.6871672
c-hono O N H x 2 1 1 x 315.6831968
t-hono O N H x 2 1 1 x 315.9159811
cs2 S C x x 2 1 x x 277.045017
hnnn N H x x 3 1 x x 337.393521
cs C S x x 1 1 x x 167.7316701
cn C N x x 1 1 x x 175.0868396
so3 O S x x 3 1 x x 343.577425
ccl2 Cl C x x 2 1 x x 175.689519
bn3pi B N x x 1 1 x x 106.3019667
so2 O S x x 2 1 x x 257.2415075
no N O x x 1 1 x x 157.0742066
so S O x x 1 1 x x 128.2613083
n2o N O x x 2 1 x x 274.5811766
c-hooo O H x x 3 1 x x 235.1035269
s2 S x x x 2 x x x 105.5867969
p4 P x x x 4 x x x 302.2803527
cl2 Cl x x x 2 x x x 58.73987765
o2 O x x x 2 x x x 126.4026002
f2 F x x x 2 x x x 37.14398076
t-hooo O H x x 3 1 x x 233.6694621
s2o S O x x 2 1 x x 203.9033933
p2 P x x x 2 x x x 117.8424756
clf Cl F x x 1 1 x x 62.62022408
no2 O N x x 2 1 x x 233.3814116
clo Cl O x x 1 1 x x 67.15932805
s3 S x x x 3 x x x 162.0169217
cl2o Cl O x x 2 1 x x 100.7130407
s4-c2v S x x x 4 x x x 227.3695846
of O F x x 1 1 x x 56.37931436
c2 C x x x 2 x x x 130.5179638
oclo O Cl x x 2 1 x x 127.7977757
f2o F O x x 2 1 x x 95.42389972
b2 B x x x 2 x x x 58.5291336
fo2 O F x x 2 1 x x 134.5327539
cloo O Cl x x 2 1 x x 125.9300561
foof F O x x 2 2 x x 151.8529839
o3 O x x x 3 x x x 144.3302498
bn B N x x 1 1 x x 101.8326526
be2 Be x x x 2 x x x 1.406428194
C4H4 C H x x 4 4 x x 799.1076221
C6H6 C H x x 6 6 x x 1259.324347
C8H8 C H x x 8 8 x x 1712.303093
C10H10 C H x x 10 10 x x 2201.78992
C12H12 C H x x 12 12 x x 2723.255714
C20H20 C H x x 20 20 x x 4629.837134
