xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1300.728154
pentane H C x x 12 5 x x 1595.266368
hexane H C x x 14 6 x x 1889.814193
heptane H C x x 16 7 x x 2184.364643
octane H C x x 18 8 x x 2478.91169
isobutane H C x x 10 4 x x 1301.793369
isopentane H C x x 12 5 x x 1595.722674
isohexane H C x x 14 6 x x 1890.19484
isoheptane H C x x 16 7 x x 2184.756646
isooctane H C x x 18 8 x x 2478.361559
neopentane H C x x 12 5 x x 1597.770926
neohexane H C x x 14 6 x x 1890.929352
neoheptane H C x x 16 7 x x 2185.319482
3methylpentane H C x x 14 6 x x 1889.48984
diisopropyl H C x x 14 6 x x 1889.821727
hexamethylethane H C x x 18 8 x x 2476.803521
h2 H x x x 2 x x x 106.5035789
alh3 H Al x x 3 1 x x 214.3321564
alh Al H x x 1 1 x x 72.78882031
sih4 H Si x x 4 1 x x 324.5945754
bh3 H B x x 3 1 x x 282.4462975
bh B H x x 1 1 x x 82.98932678
ch2-trip H C x x 2 1 x x 190.0599773
sih H Si x x 1 1 x x 74.06473438
si2h6 H Si x x 6 2 x x 537.3068485
ch3 H C x x 3 1 x x 306.8448031
ch4 H C x x 4 1 x x 418.6094234
b2h6 H B x x 6 2 x x 608.0147356
sih3f H F Si x 3 1 1 x 380.8638202
ph3 H P x x 3 1 x x 243.5641638
c2h6 H C x x 6 2 x x 711.5216653
propane H C x x 8 3 x x 1006.143359
ch2-sing H C x x 2 1 x x 182.3216067
ch C H x x 1 1 x x 83.17971605
h2s H S x x 2 1 x x 182.4834875
hs S H x x 1 1 x x 87.96228748
c2h5f H C F x 5 2 1 x 720.3953945
ch3nh2 H C N x 5 1 1 x 581.8153571
ch3f H F C x 3 1 1 x 421.6370016
propene H C x x 6 3 x x 859.0478432
nh3 H N x x 3 1 x x 296.7429988
ethanol H C O x 6 2 1 x 808.5579941
ch3nh H C N x 4 1 1 x 476.6748441
c2h4 H C x x 4 2 x x 561.2361706
methanol H C O x 4 1 1 x 510.839799
hcl Cl H x x 1 1 x x 105.7432751
nh2 H N x x 2 1 x x 182.8996191
nh N H x x 1 1 x x 84.07334775
ch2nh2 H C N x 4 1 1 x 484.0415131
bhf2 F B H x 2 1 1 x 408.8266229
h2o H O x x 2 1 x x 229.1488144
hf F H x x 1 1 x x 138.3573576
ch2ch H C x x 3 2 x x 444.7484755
oh O H x x 1 1 x x 106.2498402
propyne H C x x 4 3 x x 702.1501007
acetaldehyde H C O x 4 2 1 x 676.4926787
allene H C x x 4 3 x x 702.0261044
sif4 F Si x x 4 1 x x 567.2261855
bf3 F B x x 3 1 x x 466.7313174
c2h3f H C F x 3 2 1 x 572.2817492
oxirane H C O x 4 2 1 x 651.5386182
ch2f2 H F C x 2 2 1 x 436.6411644
alf3 F Al x x 3 1 x x 424.9344249
bef2 F Be x x 2 1 x x 306.8900693
ch2c C H x x 2 2 x x 358.2578432
n2h4 H N x x 4 2 x x 439.53569
ch2nh H C N x 3 1 1 x 437.9995666
alf Al F x x 1 1 x x 162.020895
acetic H C O x 4 2 2 x 802.33048
c2h2 C H x x 2 2 x x 400.8972053
h2co H O C x 2 1 1 x 372.3997192
h2cn H C N x 2 1 1 x 344.5367292
bf F B x x 1 1 x x 180.8267019
becl2 Cl Be x x 2 1 x x 226.3857596
t-hcoh H C O x 2 1 1 x 320.7213151
alcl3 Cl Al x x 3 1 x x 309.503997
c-hcoh H C O x 2 1 1 x 315.5508145
alcl Al Cl x x 1 1 x x 120.7324425
ketene C H O x 2 2 1 x 533.1863514
sif F Si x x 1 1 x x 142.6688521
formic H O C x 2 2 1 x 499.8579869
hcnh H C N x 2 1 1 x 336.2469826
glyoxal C H O x 2 2 2 x 632.7023418
hcof C O H F 1 1 1 1 402.7971415
nh2cl H N Cl x 2 1 1 x 247.1788314
cf4 F C x x 4 1 x x 477.8941462
hccf C H F x 2 1 1 x 396.3503145
