xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 108.4683404
alh3 H Al x x 3 1 x x 210.6023554
alh Al H x x 1 1 x x 72.59955793
sih4 H Si x x 4 1 x x 321.2124764
bh3 H B x x 3 1 x x 281.0656348
bh B H x x 1 1 x x 82.14503546
ch2-trip H C x x 2 1 x x 190.2613767
sih H Si x x 1 1 x x 73.38151151
si2h6 H Si x x 6 2 x x 531.2308931
ch3 H C x x 3 1 x x 306.363145
ch4 H C x x 4 1 x x 418.660098
b2h6 H B x x 6 2 x x 607.7074294
sih3f H F Si x 3 1 1 x 378.7190941
ph3 H P x x 3 1 x x 242.9774347
c2h6 H C x x 6 2 x x 710.6038276
propane H C x x 8 3 x x 1004.455059
ch2-sing H C x x 2 1 x x 181.3646172
ch C H x x 1 1 x x 82.28940971
h2s H S x x 2 1 x x 184.0299501
hs S H x x 1 1 x x 88.74996019
c2h5f H C F x 5 2 1 x 718.7071607
ch3nh2 H C N x 5 1 1 x 580.7162478
ch3f H F C x 3 1 1 x 420.860726
propene H C x x 6 3 x x 857.83309
nh3 H N x x 3 1 x x 297.4038758
ethanol H C O x 6 2 1 x 808.0909819
ch3nh H C N x 4 1 1 x 474.5003377
c2h4 H C x x 4 2 x x 560.7450805
methanol H C O x 4 1 1 x 511.3130176
hcl Cl H x x 1 1 x x 106.6865227
nh2 H N x x 2 1 x x 182.4802969
nh N H x x 1 1 x x 83.15442503
ch2nh2 H C N x 4 1 1 x 482.556569
bhf2 F B H x 2 1 1 x 410.6009431
h2o H O x x 2 1 x x 231.6767774
hf F H x x 1 1 x x 140.240802
ch2ch H C x x 3 2 x x 444.2877302
oh O H x x 1 1 x x 107.2009169
propyne H C x x 4 3 x x 702.3958768
acetaldehyde H C O x 4 2 1 x 674.3058035
allene H C x x 4 3 x x 702.2216214
sif4 F Si x x 4 1 x x 572.2402235
bf3 F B x x 3 1 x x 470.9458676
c2h3f H C F x 3 2 1 x 571.4839516
oxirane H C O x 4 2 1 x 649.7482354
ch2f2 H F C x 2 2 1 x 435.1479418
alf3 F Al x x 3 1 x x 426.4009998
bef2 F Be x x 2 1 x x 309.8756581
ch2c C H x x 2 2 x x 358.4027352
n2h4 H N x x 4 2 x x 438.3620221
ch2nh H C N x 3 1 1 x 436.5912558
alf Al F x x 1 1 x x 163.4802037
acetic H C O x 4 2 2 x 800.6735586
c2h2 C H x x 2 2 x x 402.0736936
h2co H O C x 2 1 1 x 371.0509603
h2cn H C N x 2 1 1 x 342.6681489
bf F B x x 1 1 x x 182.359259
becl2 Cl Be x x 2 1 x x 226.5753635
t-hcoh H C O x 2 1 1 x 320.2743242
alcl3 Cl Al x x 3 1 x x 308.3526732
c-hcoh H C O x 2 1 1 x 315.2547034
alcl Al Cl x x 1 1 x x 122.4920374
ketene C H O x 2 2 1 x 532.8168001
sif F Si x x 1 1 x x 143.4019637
formic H O C x 2 2 1 x 498.8315437
hcnh H C N x 2 1 1 x 335.3039268
glyoxal C H O x 2 2 2 x 629.1009696
hcof C O H F 1 1 1 1 400.9451049
nh2cl H N Cl x 2 1 1 x 247.2151353
cf4 F C x x 4 1 x x 476.0153225
hccf C H F x 2 1 1 x 397.4005644
hcn H C N x 1 1 1 x 309.839084
hnc H N C x 1 1 1 x 296.8526338
cch C H x x 2 1 x x 262.2650088
hco O C H x 1 1 1 x 277.9258686
co C O x x 1 1 x x 256.5373573
oxirene C H O x 2 2 1 x 454.0797858
f2co F O C x 2 1 1 x 419.0141739
hocn C N O H 1 1 1 1 408.2900306
hooh H O x x 2 2 x x 267.4186922
t-n2h2 H N x x 2 2 x x 294.2618799
hnco C O N H 1 1 1 1 434.5450703
c-n2h2 H N x x 2 2 x x 288.5509871
cf2 F C x x 2 1 x x 257.1018946
co2 O C x x 2 1 x x 387.6958941
fccf F C x x 2 2 x x 387.0878409
dioxirane H O C x 2 2 1 x 405.2156942
cf C F x x 1 1 x x 133.5911676
ssh S H x x 2 1 x x 167.4165113
hocl O H Cl x 1 1 1 x 165.301975
nccn N C x x 2 2 x x 496.3177977
n2 N x x x 2 x x x 225.6415212
n2h N H x x 2 1 x x 225.4389158
ocs O C S x 1 1 1 x 334.7130005
sio Si O x x 1 1 x x 191.2722526
clcn Cl C N x 1 1 1 x 282.8871477
hoo O H x x 2 1 x x 176.4986439
hcno C H N O 1 1 1 1 363.2714717
honc H O N C 1 1 1 1 349.5193452
hno N H O x 1 1 1 x 202.3515818
hof H O F x 1 1 1 x 156.4482888
c-hono O N H x 2 1 1 x 309.3467195
t-hono O N H x 2 1 1 x 309.6851978
cs2 S C x x 2 1 x x 279.201023
hnnn N H x x 3 1 x x 330.8990519
cs C S x x 1 1 x x 168.8643293
cn C N x x 1 1 x x 174.9458118
so3 O S x x 3 1 x x 337.3686261
ccl2 Cl C x x 2 1 x x 174.3565801
bn3pi B N x x 1 1 x x 106.8510808
so2 O S x x 2 1 x x 253.5543444
no N O x x 1 1 x x 152.1573144
so S O x x 1 1 x x 128.1378955
n2o N O x x 2 1 x x 268.5397452
c-hooo O H x x 3 1 x x 231.3420148
s2 S x x x 2 x x x 107.61067
p4 P x x x 4 x x x 299.2074912
cl2 Cl x x x 2 x x x 58.76823989
o2 O x x x 2 x x x 124.1952709
f2 F x x x 2 x x x 35.07053187
t-hooo O H x x 3 1 x x 230.1015879
s2o S O x x 2 1 x x 203.4952509
p2 P x x x 2 x x x 117.8236036
clf Cl F x x 1 1 x x 62.50372061
no2 O N x x 2 1 x x 226.7646105
clo Cl O x x 1 1 x x 66.07739072
s3 S x x x 3 x x x 163.8546468
cl2o Cl O x x 2 1 x x 99.96696898
s4-c2v S x x x 4 x x x 229.3847825
of O F x x 1 1 x x 53.41145164
c2 C x x x 2 x x x 131.7373604
