xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1299.835772
pentane H C x x 12 5 x x 1594.003715
hexane H C x x 14 6 x x 1888.182223
heptane H C x x 16 7 x x 2182.372645
octane H C x x 18 8 x x 2476.554788
isobutane H C x x 10 4 x x 1301.032981
isopentane H C x x 12 5 x x 1594.724785
isohexane H C x x 14 6 x x 1888.851503
isoheptane H C x x 16 7 x x 2183.069643
isooctane H C x x 18 8 x x 2477.311909
neopentane H C x x 12 5 x x 1596.942005
neohexane H C x x 14 6 x x 1890.037361
neoheptane H C x x 16 7 x x 2184.116287
3methylpentane H C x x 14 6 x x 1888.272689
diisopropyl H C x x 14 6 x x 1888.835189
hexamethylethane H C x x 18 8 x x 2476.61214
h2 H x x x 2 x x x 107.1461197
alh3 H Al x x 3 1 x x 212.4895461
alh Al H x x 1 1 x x 72.57217874
sih4 H Si x x 4 1 x x 323.9055614
bh3 H B x x 3 1 x x 282.9909283
bh B H x x 1 1 x x 82.50414547
ch2-trip H C x x 2 1 x x 190.1555462
sih H Si x x 1 1 x x 73.02987376
si2h6 H Si x x 6 2 x x 536.1028193
ch3 H C x x 3 1 x x 305.8468196
ch4 H C x x 4 1 x x 419.1933568
b2h6 H B x x 6 2 x x 611.500524
sih3f H F Si x 3 1 1 x 381.4813578
ph3 H P x x 3 1 x x 243.97142
c2h6 H C x x 6 2 x x 711.4592046
propane H C x x 8 3 x x 1005.626752
ch2-sing H C x x 2 1 x x 180.6838388
ch C H x x 1 1 x x 81.98688274
h2s H S x x 2 1 x x 185.4371015
hs S H x x 1 1 x x 89.13770377
c2h5f H C F x 5 2 1 x 720.1855004
ch3nh2 H C N x 5 1 1 x 580.6204307
ch3f H F C x 3 1 1 x 421.6776386
propene H C x x 6 3 x x 859.3768202
nh3 H N x x 3 1 x x 296.895097
ethanol H C O x 6 2 1 x 808.988296
ch3nh H C N x 4 1 1 x 473.9207648
c2h4 H C x x 4 2 x x 561.8940644
methanol H C O x 4 1 1 x 511.5797464
hcl Cl H x x 1 1 x x 107.3665571
nh2 H N x x 2 1 x x 181.3767239
nh N H x x 1 1 x x 82.08428552
ch2nh2 H C N x 4 1 1 x 481.7609971
bhf2 F B H x 2 1 1 x 411.5746774
h2o H O x x 2 1 x x 231.2674086
hf F H x x 1 1 x x 139.6766609
ch2ch H C x x 3 2 x x 444.3102151
oh O H x x 1 1 x x 106.9198771
propyne H C x x 4 3 x x 703.7186429
acetaldehyde H C O x 4 2 1 x 676.5126903
allene H C x x 4 3 x x 703.2739149
sif4 F Si x x 4 1 x x 573.4413597
bf3 F B x x 3 1 x x 470.8335201
c2h3f H C F x 3 2 1 x 572.8046516
oxirane H C O x 4 2 1 x 651.0469054
ch2f2 H F C x 2 2 1 x 436.0722385
alf3 F Al x x 3 1 x x 429.418317
bef2 F Be x x 2 1 x x 312.4427787
ch2c C H x x 2 2 x x 359.0871208
n2h4 H N x x 4 2 x x 437.7179169
ch2nh H C N x 3 1 1 x 437.2496776
alf Al F x x 1 1 x x 164.7607639
acetic H C O x 4 2 2 x 802.5680669
c2h2 C H x x 2 2 x x 402.9537423
h2co H O C x 2 1 1 x 372.5961999
h2cn H C N x 2 1 1 x 342.79697
bf F B x x 1 1 x x 182.7433039
becl2 Cl Be x x 2 1 x x 229.62827
t-hcoh H C O x 2 1 1 x 320.6012555
alcl3 Cl Al x x 3 1 x x 311.1754741
c-hcoh H C O x 2 1 1 x 315.4931701
alcl Al Cl x x 1 1 x x 122.8707297
ketene C H O x 2 2 1 x 533.9423084
sif F Si x x 1 1 x x 143.7673814
formic H O C x 2 2 1 x 500.0166037
hcnh H C N x 2 1 1 x 334.8926854
glyoxal C H O x 2 2 2 x 632.9139052
hcof C O H F 1 1 1 1 402.5768972
nh2cl H N Cl x 2 1 1 x 247.11613
cf4 F C x x 4 1 x x 476.4267345
hccf C H F x 2 1 1 x 398.0187904
hcn H C N x 1 1 1 x 310.9198796
hnc H N C x 1 1 1 x 297.2989216
cch C H x x 2 1 x x 262.3887487
hco O C H x 1 1 1 x 278.7807669
co C O x x 1 1 x x 258.0324535
oxirene C H O x 2 2 1 x 455.1904136
f2co F O C x 2 1 1 x 420.160147
hocn C N O H 1 1 1 1 408.5600412
hooh H O x x 2 2 x x 268.3351918
t-n2h2 H N x x 2 2 x x 295.146819
hnco C O N H 1 1 1 1 434.6940535
c-n2h2 H N x x 2 2 x x 289.3730736
cf2 F C x x 2 1 x x 257.9915198
