#,A,+,B,->,C,0.1,D,Al-B-Be-C-Cl-F-H-N-O-P-S-Si,RE (kcal mol-1),CCSD(T) error,ACCSD(T) error,MBPT(2) error,B2PLYP error,B2GPPLYP error,B2IPPLYP error,PWPB95 error,CAM-B3LYP error,wB97X error,CAM-QTP01,M06-2X error,M06 error,TPSSh error,O3LYP error,PW6B95 error,B3LYP error,PBE0 error,TPSS error,OLYP error,BLYP error,BP86 error,PBE error
0,xxxx,+,alh3,->,h2,+,alh,H3-Al1,30.106,0.092907361,0.065607326,-2.490471734,-0.448021085,-1.35463535,-0.759398082,-0.336366993,2.261088151,4.758948027,-5.003258098,-2.964374853,2.352675035,3.717828597,0.365703806,0.260459496,-0.828559956,1.656310959,3.123955463,-4.335170791,-3.390018627,-1.506307109,-0.679854331
1,xxxx,+,bh3,->,h2,+,bh,H3-B1,86.799,1.33119027,1.282180266,-5.112712308,-4.744198574,-5.5870691,-5.101485289,-3.178266795,6.314216642,6.183095652,-9.170654293,3.589688828,5.25248654,4.890093027,6.920787538,4.04536997,3.740024998,7.386399524,3.995298635,-0.432306182,1.196246535,3.559391345,5.68820974
2,xxxx,+,ch3,->,h2,+,ch,H3-C1,114.156,1.293856248,1.266244713,-4.959768,-1.76186879,-2.701067775,-2.474214366,-1.118562859,2.580818936,2.874918434,-6.159799158,0.817047047,0.660533243,0.311993958,8.052414769,1.682836838,-0.221153794,6.835623273,-0.565190664,-0.773193774,-2.321665319,3.521327627,6.364043717
3,xxxx,+,ch4,->,h2,+,ch2-trip,H4-C1,120.182,1.080045403,1.086614164,-1.339224869,0.131692288,-0.26608482,-0.436642396,-1.480387258,0.010066815,1.774580159,-2.992942595,-2.232208021,-0.447261962,-6.723435705,3.861803135,0.652028369,-2.207447094,-0.675309387,-7.07339864,-4.01835433,-2.885467126,-2.142886443,0.538167853
4,xxxx,+,ch4,->,h2,+,ch2-sing,H4-C1,129.471,0.721247147,0.650992291,-6.346818471,-2.430536768,-3.484942709,-3.231124403,-2.916191123,3.446202626,3.981563976,-7.293736776,2.149978237,-0.565971226,2.266813422,9.596317859,3.93327335,0.426232517,7.787133177,1.411319163,0.570707958,-1.744525025,4.253585462,7.272915074
5,xxxx,+,c2h6,->,h2,+,c2h4,H6-C2,39.492,-0.155651059,-0.310742618,-1.669847299,0.20840402,-1.013939167,-0.24565607,-0.443168722,1.612567478,4.229297315,-5.262253055,1.192975611,2.589005308,-0.344488123,3.223143196,0.565858164,-1.588532492,4.357069056,-2.04805348,-3.606803555,-5.330285562,-0.955420891,1.005920294
6,xxxx,+,c2h6,->,ch2-trip,+,ch4,H6-C2,101.915,1.174837603,1.238920685,-1.673756334,1.292456379,0.73634421,0.526059942,-0.983959511,-1.224268572,1.093184961,-2.102997811,-1.33820018,-1.387153003,-6.818108019,3.434632107,-0.042184783,-3.648668328,-1.113693947,-6.848423364,-4.797568837,-4.118095269,-2.382715227,0.556859804
7,xxxx,+,c2h6,->,ch4,+,ch2-sing,H6-C2,111.204,0.816039347,0.803298812,-6.681349936,-1.269772677,-2.482513678,-2.268422065,-2.419763377,2.211867239,3.300168777,-6.403791991,3.043986078,-1.505862267,2.172141108,9.16914683,3.239060197,-1.014988716,7.348748618,1.636294439,-0.208506549,-2.977153168,4.013756678,7.291607024
8,xxxx,+,propane,->,h2,+,propene,H8-C3,36.838,-0.208911868,-0.364847237,-1.395409277,0.761876066,-0.550597006,0.273354908,0.095396923,0.956203931,3.77916519,-4.776562406,0.853304979,1.800360522,-1.287556982,1.994407943,-0.28525632,-2.478934997,3.368909845,-3.054935774,-4.970595279,-6.387169397,-2.182736167,-0.193399866
9,xxxx,+,propane,->,ch2-trip,+,c2h6,H8-C3,104.084,1.215173347,1.291727445,-1.906076346,1.74074968,1.046343726,0.875303443,-0.494021356,-1.925078856,0.626943108,-1.773388078,-1.596098239,-1.787417343,-7.927486361,2.696253799,-0.77555924,-4.671490467,-1.857110007,-7.981803073,-6.147660816,-5.243312036,-3.3220406,-0.154366821
10,xxxx,+,propane,->,ch4,+,c2h4,H8-C3,23.394,-0.020523115,-0.105629338,-2.236698775,1.817461412,0.298489378,1.066289768,0.543197181,-0.322578194,3.081660264,-4.042698538,1.829085393,1.248849927,-1.548538779,2.05759386,-0.861729445,-4.052575865,3.175268436,-2.956457913,-5.736110041,-7.688130472,-2.134575048,0.31338562
11,xxxx,+,propane,->,c2h6,+,ch2-sing,H8-C3,113.373,0.856375091,0.856105572,-6.913669948,-0.821479376,-2.172514163,-1.919178564,-1.929825221,1.511056955,2.833926925,-6.074182259,2.786088019,-1.906126607,1.062762765,8.430768523,2.505685741,-2.037810856,6.605332557,0.50291473,-1.558598529,-4.102369935,3.074431306,6.5803804
12,xxxx,+,c2h5f,->,h2,+,c2h3f,H5-C2-F1,38.117,-0.20270326,-0.377501925,-1.334624223,0.511358781,-0.833287828,0.038545166,0.165457945,1.016816072,3.406100902,-4.669478163,0.409959936,0.787843308,-1.292057143,1.136608954,-0.538785937,-2.283371719,2.899045548,-3.187008037,-5.726905964,-6.487234357,-2.878828792,-1.152086604
13,xxxx,+,c2h5f,->,ch2-trip,+,ch3f,H5-C2-F1,107.798,1.135250004,1.193149518,-1.72296739,1.299740174,0.728883579,0.522932275,-0.824624433,-0.903914512,1.204350458,-2.748861346,-1.444289164,-1.47210012,-7.203192663,3.756733907,-0.027673334,-3.660074524,-1.109711563,-7.222685896,-4.944502555,-4.075973816,-2.386895314,0.770154872
14,xxxx,+,c2h5f,->,ch2-sing,+,ch3f,H5-C2-F1,117.087,0.776451748,0.757527645,-6.730560993,-1.262488883,-2.489974309,-2.271549732,-2.260428298,2.532221299,3.411334274,-7.049655527,2.937897094,-1.590809384,1.787056464,9.491248631,3.253571647,-1.026394913,7.352731001,1.262031907,-0.355440268,-2.935031715,4.009576592,7.504902093
15,xxxx,+,c2h5f,->,c2h4,+,hf,H5-C2-F1,15.767,-0.373971651,-0.534608951,-0.555816328,-0.535789329,-1.268985533,-0.651200042,-1.787955077,5.486505787,6.891792302,-9.159051202,4.661614284,4.622650922,6.169888434,5.98533624,3.94295841,2.064583111,6.37754799,5.693887605,-0.234683461,-0.270453117,2.933140429,4.78081886
16,xxxx,+,ch3nh2,->,h2,+,ch2nh,H5-C1-N1,33.367,0.316981377,0.160796544,-1.216862312,0.159109404,-1.166492641,-0.295977653,-0.269445486,1.263810663,3.213262663,-5.283680307,1.057793743,0.813440346,-2.058684113,2.76898615,-0.189393565,-2.190173983,3.763280873,-4.038713019,-5.264312478,-6.471942184,-1.958898597,-0.139975662
17,xxxx,+,ch3nh2,->,ch2-trip,+,nh3,H5-C1-N1,93.538,0.999713192,1.06502161,-1.358772353,0.773434185,0.397293777,0.143462586,-1.619026217,0.225472368,2.088735925,-3.409263213,-0.087376835,0.095597178,-4.425040986,4.450563426,1.26214213,-2.120594957,-0.231451627,-4.168760348,-3.534517428,-2.28615662,-1.02497889,1.736320635
18,xxxx,+,ch3nh2,->,ch3,+,nh2,H5-C1-N1,91.84,1.107349565,1.158979278,-4.196199905,2.32132485,1.422721395,1.07994636,-0.904356259,-2.76831032,0.361767189,-1.201992636,2.38790032,-0.739834111,-6.707955567,5.024409252,-0.074653478,-5.734910629,-1.770671918,-6.332502725,-4.319202445,-5.993096649,-2.433770898,0.776400652
19,xxxx,+,ch3nh2,->,ch4,+,nh,H5-C1-N1,78.785,1.964067028,2.039087775,-4.177151688,1.190895619,0.777474079,0.129500027,-0.154763328,-1.945402709,-0.475147707,-1.689441128,0.484464993,-2.171174576,-8.149826167,5.005376491,-1.781512496,-4.791620438,-1.07333344,-7.429510882,-4.356371854,-3.852027891,-0.28447335,2.871939437
20,xxxx,+,ch3nh2,->,ch2-sing,+,nh3,H5-C1-N1,102.827,0.640914936,0.629399737,-6.366365956,-1.788794871,-2.821564111,-2.651019421,-3.054830082,3.661608179,4.295719742,-7.710057393,4.294809423,-0.023112086,4.565208141,10.18507815,4.54338711,0.513084655,8.230990937,4.315957455,1.054544859,-1.145214519,5.371493015,8.471067855
21,xxxx,+,ch3f,->,ch2-trip,+,hf,H3-F1-C1,90.574,0.901312409,0.908518999,-0.175982842,-0.619784856,-0.513670555,-0.8390587,-2.984508692,3.563651064,4.325909649,-6.243877206,1.342519637,1.67133077,0.176025497,6.301894379,4.014617166,1.457074706,1.341187164,1.042804977,-0.499300517,2.132243866,1.749854963,4.099771351
22,xxxx,+,ch3f,->,ch2-sing,+,hf,H3-F1-C1,99.863,0.542514153,0.472897126,-5.183576444,-3.182013912,-3.732528443,-3.633540707,-4.420312557,6.999786875,6.532893466,-10.54467139,5.724705895,1.552621506,9.166274624,12.0364091,7.295862146,4.090754317,9.803629728,9.52752278,4.08976177,3.273185967,8.146326869,10.83451857
23,xxxx,+,propene,->,h2,+,propyne,H6-C3,46.48,-0.229929942,-0.263826224,2.024560194,1.025513693,0.16730707,0.969645851,-0.001687841,1.799403174,3.696995545,-5.185605184,-0.538342733,-1.114652219,0.491321115,3.462270769,0.61511896,-0.8179372,4.543893238,-1.02355943,-3.336468776,-4.37168725,-0.361585713,1.466552064
24,xxxx,+,propene,->,h2,+,allene,H6-C3,47.985,-0.029877992,-0.17372313,-1.202571734,1.659077651,0.034106181,1.02770445,1.241473708,-0.477629618,2.291690549,-3.659588564,-1.47167085,-1.609152721,-3.338000585,-0.586960359,-2.345266004,-4.298585354,1.322243703,-5.393814127,-7.939125825,-8.939846347,-5.002096738,-3.180228157
25,xxxx,+,propene,->,ch2-trip,+,c2h4,H6-C3,106.738,1.268434157,1.345832063,-2.180514367,1.187277634,0.583001564,0.356292465,-1.032587001,-1.26871531,1.077075233,-2.259078728,-1.256427607,-0.998772557,-6.984417502,3.924989053,0.075555244,-3.781087963,-0.868950796,-6.974920779,-4.783869092,-4.186428201,-2.094725324,1.044953339
26,xxxx,+,propene,->,ch3,+,ch2ch,H6-C3,107.627,0.755920177,0.804675866,-4.250843021,2.425864544,0.91748696,0.983037536,-0.770281525,-3.588290928,-0.073512451,-0.359185563,0.439653775,-2.54494678,-7.399508873,2.300579645,-0.76531339,-6.451941827,-2.357232404,-7.622386018,-6.868450371,-8.015231913,-4.81605633,-1.583615649
27,xxxx,+,propene,->,ch4,+,ch2c,H6-C3,81.224,0.657558451,0.688253143,-6.056716313,0.214943111,-1.358188175,-0.88579325,-0.479275153,-0.401274636,1.100780377,-3.53809405,1.087707941,-3.159343212,-0.091638078,5.212457788,0.01237991,-3.280155533,4.516133179,-0.943754546,-3.87769244,-6.116924724,0.125684356,3.109170473
